lemma,Count,part_of_speech,hyponyms
acting,6,verb,act on;alternate;antagonize;anticipate;attack;begin;behave;behave;coact;come close;come to the fore;condescend;condescend;condescend;continue;continue;continue;cope;court;create;dally;dare;deal;dispatch;do well;effect;egotrip;evade;exert;finish up;force;get around to;go;go ahead;go off half-cocked;guard;interact;interrupt;lord it over;make a point;make bold;maneuver;misbehave;participate;partner;perform;perpetrate;play;play;play it by ear;prosecute;prosecute;race;rampage;react;react;reciprocate;repeat;reward;rush;satisfice;set about;sneak;stampede;surprise;take;take care;take time by the forelock;try;use;volunteer;wait;woo|act;act involuntarily;backslap;break down;bungle;dally;fall over backwards;follow;footle;freeze;frivol;hugger mugger;joke;make;make;make as if;menace;optimize;piffle;play;presume;quack;ramp;relax;romanticize;sauce;sentimentalise;stooge;swagger;swell;vulgarize;wanton|act out;emote;enact;impersonate;make;parody;support|bank;criticize|drive around;play;walk around|simulate|mime;overact;stooge;underact
actinic radiation,17,noun,infrared;light;ultraviolet
actinic ray,11,noun,infrared;light;ultraviolet
actinomycete,12,noun,streptomyces
actinomycosis,13,noun,abdominal actinomycosis;cervicofacial actinomycosis;thoracic actinomycosis
actinopod,9,noun,heliozoan;radiolarian
actinotherapy,13,noun,phototherapy;radium therapy;x-ray therapy
actinozoa,9,noun,coral;sea anemone;sea pen
actinozoan,10,noun,coral;sea anemone;sea pen
action,6,noun,accomplishment;aggression;alienation;application;arrival;beatification;bruxism;change;choice;course;destabilization;economy;emphasizing;employment;fetch;interaction;jumpstart;kindness;performance;pickings;play;playing;politeness;prohibition;reference;res gestae;resistance;reverence;stupefaction;thing;transfusion;transgression;vampirism|agency;behavior;busyness;eruption;operation;overdrive;play;swing|amphibious landing;battle;blockade;defense;electronic warfare;police action;resistance;saber rattling;sortie;war|absorption;acidification;adiabatic process;aeration;antiredeposition;capture;capture;centrifugation;chemical process;chromatography;concretion;condensation;convection;curdling;decay;demagnetization;desorption;diffusion;dissolution;distillation;drift;effervescence;electrophoresis;establishment;extinction;extraction;feedback;filtration;flocculation;flow;formation;fossilization;geological process;hardening;inactivation;ion exchange;ionization;leach;magnetization;materialization;nuclear reaction;opacification;oscillation;oxygenation;pair production;phase change;precession of the equinoxes;radiation;release;saltation;scattering;sericulture;sink;soak;softening;sorption;source;stiffening;stimulation;succession;survival;synergy;temperature change;transduction;transpiration;vitrification|gunlock;movement;piano action;pump action|antitrust case;civil action;counterclaim;custody case;lis pendens;prosecution;test case
action,6,verb,expedite|consummate;consummate;dispatch;do;get over;run
action at law,13,noun,antitrust case;civil action;counterclaim;custody case;lis pendens;prosecution;test case
action mechanism,16,noun,gunlock;movement;piano action;pump action
activate,8,verb,reactivate
activated,9,verb,reactivate
activating,10,noun,electrification;vivification
activating,10,verb,reactivate
